,restaurant_name,city,cuisines,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,repeat_customer_pct,platform_performance_better
377,Barrel Biryani Foods,Delhi,Biryani,4.6,1525,4.5,1004,328,Mid-Range,53,53,29,30,479,402,157112,131856,61,Swiggy Better
378,Nawab Bhavan,Delhi,Biryani,4.3,2688,4.3,1065,615,Mid-Range,31,33,27,19,346,302,212790,185730,60,Swiggy Better
379,Urban Bowl (3),Chennai,Seafood,4.8,1138,4.8,902,1395,Luxury,34,26,20,25,182,171,253890,238545,70,Swiggy Better
380,Cinnamon Mexican Room,Pune,Mexican; Cafe,3.9,846,4,937,1544,Luxury,56,45,32,32,113,131,174472,202264,44,Zomato Better
381,Coastal Vegan Tadka,Jaipur,Vegan; Pan-Asian,4.1,2111,4,2218,384,Mid-Range,46,46,25,28,237,273,91008,104832,51,Balanced
382,Terrace Japanese Grill,Kolkata,Japanese,4.2,351,4.5,614,344,Mid-Range,75,66,37,40,133,259,45752,89096,59,Zomato Better
383,The Biryani Corner,Delhi,Biryani,4.1,2327,4.1,950,945,Premium,60,48,31,34,391,219,369495,206955,52,Swiggy Better
384,The Desserts Republic,Delhi,Desserts,4.8,927,4.6,1748,436,Mid-Range,30,36,17,24,277,311,120772,135596,59,Zomato Better
385,The Fast Bar & Grill,Lucknow,Fast Food; Mughlai,4.9,526,4.8,609,666,Mid-Range,38,38,20,24,254,277,169164,184482,61,Zomato Better
386,The Pan-Asian Kitchen,Chennai,Pan-Asian; Seafood,3.8,1323,3.7,762,195,Budget,45,52,26,31,194,209,37830,40755,36,Zomato Better
387,Basil Grill,Jaipur,Biryani; Continental,4.5,1911,4.2,1431,274,Budget,40,40,26,24,273,166,74802,45484,53,Swiggy Better
388,Royal Foods (2),Mumbai,Street Food; South Indian,4.2,218,4.2,314,1025,Premium,38,44,24,32,104,138,106600,141450,54,Zomato Better
389,Roots Grill (3),Ahmedabad,Bakery,4,2147,3.8,1155,386,Mid-Range,32,31,22,19,285,233,110010,89938,37,Swiggy Better
390,Harvest Desserts House,Hyderabad,Desserts; Biryani,4.1,1645,4,1474,398,Mid-Range,57,54,32,28,271,287,107858,114226,39,Zomato Better
391,The Lebanese Bites,Mumbai,Lebanese,4.9,670,5,856,1251,Premium,47,43,24,29,117,203,146367,253953,68,Zomato Better
392,The Mughlai Corner,Pune,Mughlai,3.8,316,4.1,297,1127,Premium,50,42,25,26,108,133,121716,149891,42,Zomato Better
393,Bamboo Mughlai Kitchen Co.,Hyderabad,Mughlai; Korean,4.5,5235,5,2283,374,Mid-Range,32,33,22,24,610,466,228140,174284,65,Swiggy Better
394,Silk Lebanese Junction,Mumbai,Lebanese,4.4,1147,4.3,1055,585,Mid-Range,39,40,29,27,402,205,235170,119925,51,Swiggy Better
395,The Thai Foods,Delhi,Thai,3.9,2318,4,565,329,Mid-Range,43,41,22,25,272,274,89488,90146,44,Swiggy Better
396,Curry Room,Kolkata,Fast Food,4.3,1592,4.2,2803,396,Mid-Range,33,38,25,27,235,385,93060,152460,54,Zomato Better
397,Nawab House,Bangalore,Seafood; Mediterranean,3.9,1733,3.8,512,210,Budget,37,39,23,29,230,111,48300,23310,40,Swiggy Better
398,Tandoor Tadka,Delhi,Bakery,4.6,1810,4.7,815,231,Budget,27,22,19,17,357,372,82467,85932,62,Balanced
399,The North Corner,Delhi,North Indian; Chinese,4.6,1252,4.5,943,202,Budget,104,94,44,43,158,227,31916,45854,54,Zomato Better
400,Bistro Multi-Cuisine Junction,Bangalore,Multi-Cuisine,4.3,1980,4.4,1192,2266,Luxury,32,26,20,15,226,224,512116,507584,48,Swiggy Better
401,Spice Biryani Cellar,Jaipur,Biryani,4.8,551,4.9,1126,376,Mid-Range,39,49,34,28,203,267,76328,100392,70,Zomato Better
402,Tandoor Biryani Bhavan,Kolkata,Biryani,4.7,3706,4.6,1600,440,Mid-Range,31,32,25,26,518,267,227920,117480,60,Swiggy Better
403,The Cafe Room,Mumbai,Cafe; Mediterranean,3.6,1785,3.5,1323,274,Budget,50,45,32,25,293,281,80282,76994,33,Swiggy Better
404,Heritage Deck,Lucknow,Continental,4.7,2248,5,1510,327,Mid-Range,44,48,30,26,342,229,111834,74883,61,Swiggy Better
405,Ember Korean Junction,Ahmedabad,Korean; Thai,4.5,1116,4.5,1459,196,Budget,35,31,23,33,283,344,55468,67424,52,Zomato Better
406,Royal Diner,Bangalore,Desserts,4.5,1895,4.7,2087,725,Premium,41,37,21,23,379,242,274775,175450,65,Swiggy Better
407,Twist Bar & Grill,Kolkata,Vietnamese,3.8,878,4.1,1491,450,Mid-Range,36,29,23,21,200,351,90000,157950,43,Zomato Better
408,Saffron Bhavan,Mumbai,Chinese; Pan-Asian,4.4,2935,4.8,1872,232,Budget,99,90,50,44,530,325,122960,75400,57,Swiggy Better
409,The North Corner (2),Lucknow,North Indian,4.2,1695,3.8,535,270,Budget,62,54,41,31,214,245,57780,66150,43,Zomato Better
410,Bombay Hub (2),Hyderabad,Vietnamese,4.7,2384,4.6,3334,749,Premium,41,43,26,28,441,472,330309,353528,62,Zomato Better
411,The Lebanese Hub (2),Hyderabad,Lebanese,4.4,603,4.4,1771,1987,Luxury,39,35,28,24,249,269,494763,534503,58,Zomato Better
412,The Biryani Grill (2),Mumbai,Biryani,4.5,1633,4.5,1951,485,Mid-Range,54,50,28,32,344,389,166840,188665,59,Zomato Better
413,The Multi-Cuisine Foods,Ahmedabad,Multi-Cuisine,4.9,1142,4.8,1085,936,Premium,53,54,32,28,234,179,219024,167544,60,Swiggy Better
414,The Lebanese Republic,Mumbai,Lebanese; Bakery,3.1,710,3.5,1333,647,Mid-Range,28,26,19,25,248,233,160456,150751,30,Swiggy Better
415,The Mediterranean Table,Bangalore,Mediterranean; Seafood,4.6,2399,4.6,554,234,Budget,31,26,21,13,303,222,70902,51948,66,Swiggy Better
416,Bombay Vegan Table,Mumbai,Vegan; Lebanese,4.2,1581,4.1,1457,350,Mid-Range,36,29,28,21,313,331,109550,115850,48,Swiggy Better
417,The Korean Hub,Kolkata,Korean,4.3,1978,3.9,2542,222,Budget,38,25,28,27,392,366,87024,81252,56,Swiggy Better
418,Bombay Bar & Grill,Bangalore,Cafe,4.8,930,4.9,1846,542,Mid-Range,32,28,24,24,394,295,213548,159890,66,Swiggy Better
419,Roots Grill (4),Ahmedabad,Korean,4.6,991,4.9,1920,424,Mid-Range,25,31,18,23,160,216,67840,91584,54,Zomato Better
420,Green Pan-Asian Bar & Grill,Hyderabad,Pan-Asian,4.4,1180,4.4,1587,451,Mid-Range,25,24,23,23,301,212,135751,95612,58,Swiggy Better
421,Delhi Street Republic,Mumbai,Street Food,3.9,830,3.7,4829,492,Mid-Range,62,59,39,33,341,558,167772,274536,56,Zomato Better
422,Spice Japanese Room,Mumbai,Japanese; Desserts,4.4,914,4,1066,353,Mid-Range,42,32,25,25,220,197,77660,69541,57,Swiggy Better
423,Twist Republic,Mumbai,Mexican; South Indian,4.4,1126,4.2,1704,259,Budget,45,47,28,24,261,265,67599,68635,56,Swiggy Better
424,The South Bowl (2),Hyderabad,South Indian; Cafe,4.5,2416,4.5,1967,797,Premium,56,54,35,33,311,286,247867,227942,60,Swiggy Better
425,Bombay Seafood Cellar,Kolkata,Seafood; Continental,4.8,1611,5,1275,345,Mid-Range,23,30,12,26,518,242,178710,83490,67,Swiggy Better
426,The Fast Grill,Bangalore,Fast Food; North Indian,4.3,852,4.4,2523,197,Budget,48,49,27,30,230,355,45310,69935,52,Zomato Better
427,The Italian Darbar (2),Ahmedabad,Italian; Vietnamese,4.1,903,4.3,1611,556,Mid-Range,40,38,30,24,196,335,108976,186260,37,Zomato Better
428,The Multi-Cuisine Kitchen Co.,Mumbai,Multi-Cuisine,4.1,2416,4,894,337,Mid-Range,70,56,43,36,319,282,107503,95034,42,Swiggy Better
429,Tandoor Cafe Room,Kolkata,Cafe; Continental,4.8,1009,4.9,2222,289,Budget,66,57,38,37,271,257,78319,74273,77,Swiggy Better
430,The Mughlai Spot,Jaipur,Mughlai,4.1,588,4.3,899,338,Mid-Range,68,70,30,42,252,186,85176,62868,49,Swiggy Better
431,Green Foods,Chennai,Vietnamese; Lebanese,3.8,591,3.7,685,378,Mid-Range,22,24,25,16,226,214,85428,80892,51,Swiggy Better
432,Twist Bhavan,Chennai,Desserts; Biryani,4.4,1634,4.8,1317,273,Budget,38,35,28,28,343,427,93639,116571,53,Zomato Better
433,The Vietnamese Bhavan,Kolkata,Vietnamese; Japanese,3.9,2442,4.2,1383,385,Mid-Range,27,38,22,25,438,373,168630,143605,53,Swiggy Better
434,Cinnamon Bakery Eatery,Mumbai,Bakery; Pan-Asian,4.3,681,4.4,2013,179,Budget,31,28,31,24,214,235,38306,42065,58,Zomato Better
435,Roots Foods (2),Bangalore,Vietnamese,3.8,1996,3.7,1202,183,Budget,36,33,19,19,299,152,54717,27816,42,Swiggy Better
436,Spice Foods,Mumbai,Desserts,4.1,1460,4,774,1878,Luxury,49,52,34,33,176,232,330528,435696,51,Zomato Better
437,The Korean Hub (2),Pune,Korean; Mughlai,4.5,806,4.4,530,253,Budget,38,34,21,27,114,143,28842,36179,57,Zomato Better
438,Basil Multi-Cuisine Kitchen Co.,Chennai,Multi-Cuisine,4.7,843,4.6,1751,356,Mid-Range,40,32,26,22,378,364,134568,129584,59,Balanced
439,The Japanese Eatery,Hyderabad,Japanese; Cafe,4.7,1532,4.6,1101,391,Mid-Range,45,28,27,23,220,341,86020,133331,55,Zomato Better
440,Nawab Table,Ahmedabad,Biryani,4.1,1260,3.9,444,260,Budget,22,23,22,19,156,153,40560,39780,40,Balanced
441,Bombay Thai Bites,Mumbai,Thai,4,1841,4.1,687,519,Mid-Range,42,36,17,25,301,230,156219,119370,51,Swiggy Better
442,Coastal Continental Republic,Chennai,Continental,4.8,677,4.9,1319,622,Mid-Range,64,60,33,33,335,280,208370,174160,68,Swiggy Better
443,The Continental Express (2),Bangalore,Continental; Desserts,3.9,392,3.7,734,840,Premium,86,84,47,46,190,266,159600,223440,40,Zomato Better
444,Green Bites,Bangalore,South Indian,4.5,634,4.7,1019,287,Budget,34,36,22,27,315,305,90405,87535,65,Swiggy Better
445,Green Seafood Kitchen,Chennai,Seafood; Bakery,4.8,2896,4.6,1799,556,Mid-Range,61,53,31,32,372,303,206832,168468,67,Swiggy Better
446,Ember Eatery,Lucknow,Seafood,4.2,597,4.4,555,1381,Luxury,72,67,41,41,95,96,131195,132576,58,Balanced
447,The Multi-Cuisine Republic,Hyderabad,Multi-Cuisine,4.1,1281,4.3,1891,367,Mid-Range,59,58,32,34,271,279,99457,102393,59,Balanced
448,The Mexican Foods,Mumbai,Mexican; Seafood,4.3,1351,4,1410,583,Mid-Range,27,25,16,21,167,166,97361,96778,60,Zomato Better
449,Roots Diner,Hyderabad,Fast Food,4.7,1251,4.7,1312,119,Budget,35,32,21,24,239,221,28441,26299,60,Swiggy Better
450,Basil Spot (2),Mumbai,Thai,4.7,1395,4.5,1000,382,Mid-Range,70,73,37,39,344,342,131408,130644,56,Balanced
451,The Fast Eatery,Ahmedabad,Fast Food,4.5,588,4.4,842,456,Mid-Range,57,52,33,29,175,140,79800,63840,60,Swiggy Better
452,Sultan Bites,Chennai,Thai,4.9,2353,4.8,2607,438,Mid-Range,58,57,29,36,398,291,174324,127458,63,Swiggy Better
453,The Bakery Darbar,Mumbai,Bakery,4.8,2917,5,2458,167,Budget,39,35,28,26,435,331,72645,55277,61,Swiggy Better
454,Zaffran Desserts Junction,Mumbai,Desserts; Cafe,4.6,900,4.8,2122,518,Mid-Range,47,45,26,31,308,251,159544,130018,71,Swiggy Better
455,Cinnamon Room (2),Bangalore,Biryani,4.5,2567,4.6,861,536,Mid-Range,41,31,28,21,321,246,172056,131856,49,Swiggy Better
456,Zaffran Korean Table,Lucknow,Korean; Biryani,4.5,1855,4.5,1487,309,Mid-Range,61,56,37,38,211,326,65199,100734,66,Zomato Better
457,Terrace Grill,Delhi,Thai; South Indian,4.5,1039,4.3,552,234,Budget,39,39,25,30,255,214,59670,50076,61,Swiggy Better
458,Tandoor Kitchen (2),Kolkata,North Indian,4.3,1240,4.3,2013,431,Mid-Range,45,41,27,31,298,246,128438,106026,59,Swiggy Better
459,Nawab Cafe,Hyderabad,Desserts,4.7,3098,4.6,3031,326,Mid-Range,37,30,29,24,363,353,118338,115078,56,Swiggy Better
460,The Multi-Cuisine Eatery,Pune,Multi-Cuisine,4.5,1333,4.6,1520,241,Budget,32,30,23,22,161,249,38801,60009,61,Zomato Better
461,Terrace Diner,Mumbai,Desserts,4.4,2946,4.5,907,850,Premium,66,67,37,37,373,340,317050,289000,59,Swiggy Better
462,The Fast Diner (2),Jaipur,Fast Food,4.1,1841,4.1,1264,320,Mid-Range,61,69,41,32,382,178,122240,56960,46,Swiggy Better
463,The Thai Bites,Bangalore,Thai; North Indian,4.7,923,4.7,2399,118,Budget,31,29,24,25,337,312,39766,36816,59,Swiggy Better
464,Silk Japanese Kitchen,Pune,Japanese,3.9,2225,3.6,523,313,Mid-Range,53,37,30,27,350,185,109550,57905,37,Swiggy Better
465,Roots Express,Chennai,Seafood,4.4,228,4.4,1476,912,Premium,62,60,33,34,79,183,72048,166896,60,Zomato Better
466,Ember Bar & Grill,Hyderabad,Japanese,4.5,1222,4.3,2275,502,Mid-Range,89,88,41,48,212,316,106424,158632,50,Zomato Better
467,Nawab Continental Darbar,Jaipur,Continental,4.7,430,4.5,382,1317,Luxury,54,53,29,27,107,120,140919,158040,64,Zomato Better
468,Royal Diner (2),Mumbai,Italian,4.6,1999,4.5,998,259,Budget,59,57,32,38,301,197,77959,51023,64,Swiggy Better
469,Curry Diner,Pune,Street Food; Vegan,4.8,1374,4.7,2194,1061,Premium,59,61,33,38,233,280,247213,297080,66,Zomato Better
470,Copper Mediterranean Junction,Delhi,Mediterranean; Pan-Asian,3.5,386,3.8,364,1376,Luxury,55,56,36,30,93,126,127968,173376,44,Zomato Better
471,The Italian Kitchen Co.,Delhi,Italian,4.6,1663,4.4,1101,248,Budget,26,27,18,21,215,134,53320,33232,62,Swiggy Better
472,Terrace Deck,Mumbai,Lebanese,4.4,730,4.3,2117,478,Mid-Range,50,44,22,31,240,267,114720,127626,51,Zomato Better
473,Terrace Pan-Asian Bhavan,Mumbai,Pan-Asian,4.5,2723,4.5,1145,364,Mid-Range,35,44,20,27,358,193,130312,70252,62,Swiggy Better
474,Nawab Kitchen,Bangalore,Thai,4.6,1376,4.6,1621,637,Mid-Range,30,26,19,23,237,321,150969,204477,55,Zomato Better
475,The Cafe Cellar,Bangalore,Cafe; Mediterranean,4.4,2909,4.7,2495,515,Mid-Range,26,28,18,19,375,292,193125,150380,64,Swiggy Better
476,Sultan Thai Cellar,Delhi,Thai; Korean,4.6,877,4.6,1900,263,Budget,37,37,23,22,287,279,75481,73377,58,Balanced
477,Tandoor Point,Hyderabad,Continental,4,573,3.6,902,1216,Premium,64,66,31,36,152,154,184832,187264,48,Balanced
478,Sunrise Express,Hyderabad,Pan-Asian; Multi-Cuisine,4.4,971,4.5,2726,547,Mid-Range,34,26,20,24,263,358,143861,195826,42,Zomato Better
479,The Mediterranean Tadka,Delhi,Mediterranean,4.5,1859,4.5,1249,314,Mid-Range,58,52,29,28,311,283,97654,88862,57,Balanced
480,Twist Lebanese Junction,Delhi,Lebanese,4.7,1107,4.4,751,620,Mid-Range,76,70,37,39,225,178,139500,110360,51,Swiggy Better
481,The North Corner (3),Bangalore,North Indian,4.5,3340,4.6,2372,663,Mid-Range,31,33,28,24,462,297,306306,196911,68,Swiggy Better
482,Ember Lebanese Express,Pune,Lebanese,4.9,2813,4.7,355,440,Mid-Range,70,70,40,39,322,137,141680,60280,61,Swiggy Better
483,The Biryani Bowl,Bangalore,Biryani; Mediterranean,4.5,3039,4.2,886,331,Mid-Range,63,61,39,37,365,337,120815,111547,61,Balanced
484,Ember Cafe Express,Mumbai,Cafe; Vegan,4.2,882,4.2,872,244,Budget,38,47,27,20,167,303,40748,73932,49,Zomato Better
485,Sultan Vegan Table,Delhi,Vegan,4.3,1856,4.1,926,246,Budget,48,46,31,28,440,258,108240,63468,56,Swiggy Better
486,Sultan Korean Spot,Delhi,Korean,4,2242,4.4,1009,345,Mid-Range,38,38,20,24,352,309,121440,106605,50,Swiggy Better
487,Heritage Kitchen,Bangalore,Seafood; Italian,4.3,1118,4.1,1941,714,Premium,44,41,25,23,158,358,112812,255612,57,Zomato Better
488,Coastal Room,Pune,Chinese,4.3,1071,4.4,553,272,Budget,110,107,55,60,120,200,32640,54400,46,Zomato Better
489,Urban Vietnamese Grill,Pune,Vietnamese; Bakery,4.2,1756,4.4,933,597,Mid-Range,50,42,25,34,321,311,191637,185667,51,Swiggy Better
490,Royal House,Chennai,Thai; Bakery,5,3019,5,1125,507,Mid-Range,38,40,22,24,352,298,178464,151086,76,Swiggy Better
491,The Pan-Asian Darbar,Hyderabad,Pan-Asian,3.9,1468,3.7,1986,251,Budget,25,30,24,19,334,274,83834,68774,35,Swiggy Better
492,Basil South Diner,Hyderabad,South Indian; Bakery,4.1,868,4.3,1495,851,Premium,45,49,30,23,214,298,182114,253598,52,Zomato Better
493,Tandoor Mexican Republic,Bangalore,Mexican; Bakery,3.4,2655,3.6,664,316,Mid-Range,28,33,24,22,349,170,110284,53720,27,Swiggy Better
494,The Fast Deck,Kolkata,Fast Food; Bakery,3.8,1809,3.9,1099,232,Budget,32,29,16,25,244,192,56608,44544,38,Swiggy Better
495,The Continental Express (3),Pune,Continental,4.2,895,4.3,1705,621,Mid-Range,50,49,25,28,275,309,170775,191889,43,Zomato Better
496,Bamboo Bites,Delhi,Mughlai,3.9,1410,3.8,1727,388,Mid-Range,30,30,22,22,209,396,81092,153648,42,Zomato Better
497,Lotus Pan-Asian Tadka,Hyderabad,Pan-Asian; Seafood,3.5,960,3.9,2464,211,Budget,61,50,31,33,369,327,77859,68997,37,Swiggy Better
498,The Mediterranean Foods,Delhi,Mediterranean; Desserts,4.2,1143,4.1,2807,305,Mid-Range,23,23,18,22,284,573,86620,174765,53,Zomato Better
499,Bamboo Italian Darbar,Pune,Italian,4.8,2654,4.8,799,437,Mid-Range,52,50,27,30,304,181,132848,79097,61,Swiggy Better
500,Curry Japanese Eatery,Chennai,Japanese,4.2,1586,4.5,2540,378,Mid-Range,88,72,41,42,308,345,116424,130410,54,Zomato Better
501,Bombay Table,Ahmedabad,Multi-Cuisine,4,461,4.2,1287,300,Mid-Range,46,53,30,27,154,263,46200,78900,44,Zomato Better
502,Copper House,Jaipur,Street Food; Biryani,4.4,839,4.1,596,522,Mid-Range,60,56,28,31,149,196,77778,102312,51,Zomato Better
503,The Japanese Junction,Pune,Japanese; Street Food,4.3,1245,4.3,1321,340,Mid-Range,35,35,22,27,234,290,79560,98600,56,Zomato Better
504,Lotus Bhavan,Pune,Continental; Vegan,4.6,1353,4.8,1780,324,Mid-Range,59,62,36,37,211,265,68364,85860,63,Zomato Better
505,Roots Bhavan,Kolkata,Mediterranean,4.1,782,4,616,1274,Premium,52,49,30,26,340,184,433160,234416,49,Swiggy Better
506,The Vegan House (2),Bangalore,Vegan,3.8,1031,4,751,399,Mid-Range,35,45,31,26,207,292,82593,116508,46,Zomato Better
507,Urban Street Point,Kolkata,Street Food; Japanese,5,600,4.9,1906,979,Premium,69,70,34,37,236,278,231044,272162,64,Zomato Better
508,The North Hub,Delhi,North Indian,3.9,2401,4.1,2333,344,Mid-Range,56,50,30,29,296,318,101824,109392,48,Zomato Better
509,Wok Cafe,Mumbai,Vegan,3.8,2199,4.1,1472,371,Mid-Range,28,29,18,22,275,277,102025,102767,56,Zomato Better
510,Urban Mughlai Grill,Mumbai,Mughlai,4.8,1382,4.3,726,480,Mid-Range,40,34,24,28,272,251,130560,120480,68,Swiggy Better
511,The Street Express,Kolkata,Street Food; Biryani,4.3,917,4.3,2722,349,Mid-Range,73,78,38,36,344,309,120056,107841,58,Swiggy Better
512,Curry Hub,Mumbai,Mexican; Thai,4.3,1456,4.5,1624,1806,Luxury,32,27,21,22,187,291,337722,525546,57,Zomato Better
513,Coastal Table (2),Bangalore,Italian,3.6,1053,3.9,2120,189,Budget,26,35,19,25,188,278,35532,52542,31,Zomato Better
514,Royal Kitchen,Bangalore,Vegan; Vietnamese,4.5,965,4.1,1193,575,Mid-Range,55,57,34,31,368,234,211600,134550,49,Swiggy Better
515,Golden Chinese Bites,Mumbai,Chinese,5,1321,4.6,1095,369,Mid-Range,33,35,24,23,305,234,112545,86346,61,Swiggy Better
516,Delhi Street Eatery,Bangalore,Street Food; Continental,3.9,967,4.1,839,221,Budget,77,79,44,41,241,199,53261,43979,40,Swiggy Better
517,The Mediterranean Point,Chennai,Mediterranean,3.9,1286,4,1426,277,Budget,51,57,27,30,281,265,77837,73405,42,Zomato Better
518,The North Tadka,Mumbai,North Indian; Biryani,5,2482,4.7,878,512,Mid-Range,41,42,27,23,342,433,175104,221696,72,Zomato Better
519,Green Express,Kolkata,Japanese,3.7,1789,3.8,891,442,Mid-Range,52,52,31,34,277,198,122434,87516,55,Swiggy Better
520,Wok Seafood Cellar,Ahmedabad,Seafood; Multi-Cuisine,4.7,1102,4.8,825,733,Premium,28,49,17,20,292,263,214036,192779,68,Swiggy Better
521,Lotus Bites,Delhi,Mexican; Chinese,3.9,1095,4.1,989,776,Premium,92,78,47,45,242,347,187792,269272,38,Zomato Better
522,Golden Italian Diner,Mumbai,Italian,4.4,3671,4.3,1616,311,Mid-Range,51,45,30,27,430,335,133730,104185,69,Swiggy Better
523,The Mexican Hub,Hyderabad,Mexican; Seafood,4.6,2500,4.7,1871,626,Mid-Range,41,40,29,26,318,235,199068,147110,51,Swiggy Better
524,The Cafe Express,Mumbai,Cafe,4,657,4.2,1477,367,Mid-Range,34,39,25,30,257,236,94319,86612,48,Swiggy Better
525,Harvest Seafood Deck,Delhi,Seafood,4.9,1065,4.8,1827,442,Mid-Range,27,31,21,23,311,353,137462,156026,58,Zomato Better
526,Roots Diner (2),Jaipur,Japanese; Korean,4.9,1720,4.7,1871,337,Mid-Range,40,35,24,25,327,439,110199,147943,69,Zomato Better
527,Twist House,Lucknow,South Indian,4.6,1848,4.9,1438,395,Mid-Range,31,32,21,26,240,322,94800,127190,60,Zomato Better
528,The Desserts Express (2),Chennai,Desserts; South Indian,4.8,2150,4.7,1372,265,Budget,25,28,24,20,278,213,73670,56445,59,Swiggy Better
529,Urban Diner,Bangalore,Pan-Asian,4.2,1092,4.5,1613,749,Premium,29,34,22,34,366,362,274134,271138,58,Zomato Better
530,Tandoor Fast Hub,Hyderabad,Fast Food; Vietnamese,4.5,3022,4.6,1577,361,Mid-Range,44,34,27,28,442,280,159562,101080,63,Swiggy Better
531,Roots Bites (2),Chennai,Biryani,4.8,868,5,1948,394,Mid-Range,47,47,28,30,213,346,83922,136324,60,Zomato Better
532,Terrace Eatery (3),Delhi,North Indian; Street Food,4,983,4.1,1410,527,Mid-Range,25,34,21,18,291,304,153357,160208,37,Zomato Better
533,Tandoor Bites,Hyderabad,Biryani; South Indian,4.1,1744,4,681,306,Mid-Range,29,24,24,18,374,306,114444,93636,41,Swiggy Better
534,Basil Point,Mumbai,North Indian,3.7,299,3.7,779,228,Budget,44,44,30,33,98,247,22344,56316,38,Zomato Better
535,Nawab Bites,Bangalore,Fast Food,4.4,1743,4,2246,286,Budget,40,34,23,23,264,285,75504,81510,56,Zomato Better
536,The Vietnamese Hub,Pune,Vietnamese; Pan-Asian,4.8,689,4.6,1180,334,Mid-Range,48,49,30,26,215,222,71810,74148,74,Zomato Better
537,Basil Express (2),Mumbai,Multi-Cuisine,4.9,2879,5,1278,443,Mid-Range,28,26,24,21,355,332,157265,147076,72,Swiggy Better
538,The Lebanese Cellar,Mumbai,Lebanese; Mexican,4.2,1200,4.2,1564,329,Mid-Range,51,42,30,30,236,405,77644,133245,52,Zomato Better
539,Bamboo Mughlai Foods,Kolkata,Mughlai; Italian,4.5,1004,4.7,2553,879,Premium,45,35,29,29,339,392,297981,344568,58,Zomato Better
540,Ember Corner,Lucknow,Biryani,3.9,1268,3.8,1388,523,Mid-Range,27,27,18,19,181,196,94663,102508,39,Zomato Better
541,The Mediterranean Point (2),Pune,Mediterranean; Italian,4.7,3218,4.6,1113,604,Mid-Range,35,40,26,23,361,138,218044,83352,55,Swiggy Better
542,Roots Bakery Kitchen,Kolkata,Bakery; Italian,4.5,2463,4.7,2921,641,Mid-Range,60,50,32,27,275,434,176275,278194,73,Zomato Better
543,Bistro North Diner,Lucknow,North Indian; Mediterranean,4.4,1539,4.3,433,300,Mid-Range,42,41,30,26,218,176,65400,52800,49,Swiggy Better
544,Spice Junction,Mumbai,Fast Food,4.3,582,4.5,2301,928,Premium,41,40,24,19,201,319,186528,296032,48,Zomato Better
545,Terrace Foods (2),Delhi,Pan-Asian,4.3,1025,4.7,637,1200,Premium,32,31,24,16,125,150,150000,180000,51,Zomato Better
546,Copper Grill,Delhi,South Indian,4.2,1287,4.2,1233,296,Budget,32,24,16,24,193,182,57128,53872,48,Balanced
547,The Vietnamese Diner,Mumbai,Vietnamese,3.7,1890,3.7,657,357,Mid-Range,37,43,24,24,245,204,87465,72828,47,Swiggy Better
548,Tandoor Express,Chennai,Italian; Japanese,4.5,1281,4.6,657,314,Mid-Range,64,55,39,36,226,241,70964,75674,61,Zomato Better
549,Barrel Vietnamese Table,Delhi,Vietnamese,4.8,2379,5,1880,260,Budget,77,71,45,40,412,530,107120,137800,67,Zomato Better
550,Zaffran Mediterranean Bowl,Delhi,Mediterranean; Cafe,4.1,1261,3.9,3474,477,Mid-Range,31,30,21,24,335,396,159795,188892,42,Zomato Better
551,The Mediterranean Point (3),Mumbai,Mediterranean,4.7,1056,4.8,2431,356,Mid-Range,39,43,25,28,444,332,158064,118192,65,Swiggy Better
552,Sultan Italian Tadka,Bangalore,Italian; Multi-Cuisine,3.8,542,3.5,1215,200,Budget,40,45,32,28,221,288,44200,57600,46,Zomato Better
553,Heritage Multi-Cuisine Junction,Ahmedabad,Multi-Cuisine; Thai,3.9,1056,3.7,2214,450,Mid-Range,37,35,22,25,247,251,111150,112950,50,Balanced
554,Silk Continental Bites,Mumbai,Continental,4.9,1547,5,976,147,Budget,58,58,34,39,236,251,34692,36897,69,Zomato Better
555,Bamboo Hub (3),Bangalore,Japanese,4.6,2403,4.5,1089,398,Mid-Range,53,50,30,32,467,241,185866,95918,56,Swiggy Better
556,Sunrise Table,Bangalore,Continental,4.8,2398,4.6,1142,556,Mid-Range,29,26,26,17,390,214,216840,118984,56,Swiggy Better
557,Twist Kitchen,Delhi,Seafood; Italian,4.7,2023,4.2,2033,231,Budget,43,31,22,27,230,241,53130,55671,52,Balanced
558,Curry Mediterranean Hub,Pune,Mediterranean,4.4,1481,4.3,1090,630,Mid-Range,54,48,30,33,167,219,105210,137970,38,Zomato Better
559,Terrace Republic (2),Delhi,Japanese,3.6,1420,3.4,2101,444,Mid-Range,32,27,20,12,478,287,212232,127428,28,Swiggy Better
560,The Cafe Kitchen,Mumbai,Cafe,4.4,2707,4.4,2292,589,Mid-Range,48,44,24,34,322,256,189658,150784,60,Swiggy Better
561,Lotus Foods,Bangalore,South Indian; Street Food,4.6,1770,4.2,1694,803,Premium,43,44,31,23,356,298,285868,239294,45,Swiggy Better
562,Spice Express,Kolkata,North Indian,4.5,2111,4.6,2996,308,Mid-Range,49,46,26,27,328,409,101024,125972,63,Zomato Better
